Company Name,Phone,Email,Website,Postcode,Category,Rating,Address,Email Status,Phone Status,Source
Black Rooster Angel,01413361234,info@blackroosterperiperi.com,https://www.blackroosterperiperi.com/locations/,N1 9EZ,Other,4.6,"21 Chapel Market, London N1 9EZ, United Kingdom",found,found,Google Maps
Electric Shuffle London Bridge,,,https://electricshuffle.com/uk/london/londonbridge,SE1 2ER,Other,4.6,"10 Bermondsey St, London SE1 2ER, United Kingdom",notfound,notfound,Google Maps
Blacklock,02034411234,soho@theblacklock.com,https://theblacklock.com/restaurants/blacklock-soho,W1D 7LG,Other,4.7,"24 Great Windmill St, London W1D 7LG, United Kingdom",found,found,Google Maps
Speedboat Bar,,info@speedboatbar.co.uk,https://speedboatbar.co.uk/,W1D 6DL,Other,4.7,"30 Rupert St, London W1D 6DL, United Kingdom",found,notfound,Google Maps
Bouchon Racine,02072531234,hello@threecompasses.pub,https://www.bouchonracine.com/new-home,EC1M 6BP,Other,4.8,"Upstairs, 66 Cowcross St, London EC1M 6BP, United Kingdom",found,found,Google Maps
Crudo Covent Garden,02030531234,,https://www.eatcrudo.com/,WC2H 9HA,Other,4.8,"36 Monmouth St, London WC2H 9HA, United Kingdom",notfound,found,Google Maps
Kricket Soho,02030191234,hello@kricket.co.uk,http://www.kricket.co.uk/,W1D 7HJ,Other,4.6,"12 Denman St, London W1D 7HJ, United Kingdom",found,found,Google Maps
OMA,02081291234,hello@oma.london,http://oma.london/,SE1 9AL,Other,4.7,"3 Bedale St, London SE1 9AL, United Kingdom",found,found,Google Maps
E Pellicci,02077391234,epelliccicafe@gmail.com,http://epellicci.co.uk/,E2 0AG,Other,4.8,"332 Bethnal Grn Rd, London E2 0AG, United Kingdom",found,found,Google Maps
Akoko,02073231234,info@akoko.co.uk,http://akoko.co.uk/,W1T 3LP,Other,4.8,"21 Berners St, London W1T 3LP, United Kingdom",found,found,Google Maps
St. John,02072511234,,https://www.stjohnrestaurant.com/,EC1M 4AY,Other,4.5,"26 St John St, Barbican, London EC1M 4AY, United Kingdom",notfound,found,Google Maps
Blacklock City,02079981234,city@theblacklock.com,https://theblacklock.com/restaurants/city/,EC3M 8AA,Other,4.7,"13 Philpot Ln, London EC3M 8AA, United Kingdom",found,found,Google Maps
The Barbary,02374941234,,https://www.thebarbary.co.uk/neals-yard,WC2H 9DP,Other,4.6,"16 Neal's Yard, London WC2H 9DP, United Kingdom",notfound,found,Google Maps
Fatt Pundit,02078361234,,https://www.fattpundit.co.uk/covent-garden/,WC2E 7NA,Other,4.8,"6 Maiden Ln, London WC2E 7NA, United Kingdom",notfound,found,Google Maps
Heddon Street Kitchen,02075921234,heddonstreetkitchen@gordonramsayrestaurants.com,https://www.gordonramsayrestaurants.com/heddon-street-kitchen/,W1B 4BE,Other,4.3,"3-9 Heddon St, London W1B 4BE, United Kingdom",found,found,Google Maps
Osteria Romana,02075841234,info@osteriaromana.co.uk,http://osteriaromana.co.uk/,SW1X 7PQ,Other,4.8,"3-4 Park Cl, London SW1X 7PQ, United Kingdom",found,found,Google Maps
